ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
20568,BME,1501,001,Lecture,"1","Shannon Barker","Th 12:30pm - 1:20pm","","Special Topics","Intro to BME",Open,20,25,0
15255,BME,2000,001,Lecture,"3","William Guilford","TuTh 3:30pm - 4:45pm","","Biomedical Engineering Design and Discovery","",Closed,52,50,0
14748,BME,2101,001,Lecture,"3","Brian Helmke","TuTh 2:00pm - 3:15pm","","Physiology I for Engineers","",Open,64,65,0
15602,BME,2102,001,Lecture,"3","Shannon Barker","TuTh 9:30am - 10:45am","","Physiology II","",Closed,69,65,0
15258,BME,2104,001,Lecture,"3","Eli Zunder","TuTh 12:30pm - 1:45pm","","Cell and Molecular Biology for Engineers","",Open,52,65,0
15257,BME,2220,001,Lecture,"3","Natasha Sheybani","TuTh 11:00am - 12:15pm","","Biomechanics","",Open,56,65,0
14935,BME,2315,001,Lecture,"3","Shayn Peirce-Cottler, Sarah Groves","TuTh 9:30am - 10:45am","","Computational Biomedical Engineering","",Open,63,65,0
14750,BME,3080,100,Lecture,"4","Timothy Allen, Brent French","Mo 11:00am - 11:50am","","Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS)","",Open,96,120,0
14751,BME,3080,101,Laboratory,"0","Timothy Allen","Tu 2:00pm - 6:00pm","","Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS)","",Open,32,38,0
14752,BME,3080,102,Laboratory,"0","Timothy Allen","We 2:00pm - 6:00pm","","Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS)","",Closed,40,40,0
14753,BME,3080,103,Laboratory,"0","Timothy Allen","Th 2:00pm - 6:00pm","","Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS)","",Open,24,40,0
15256,BME,3240,001,Lecture,"3","Chris Highley","TuTh 12:30pm - 1:45pm","","Biotransport","",Closed,65,65,0
14749,BME,3310,001,Lecture,"3","Sepideh Dolatshahi","TuTh 11:00am - 12:15pm","","Biomedical Systems Analysis and Design","",Open,60,65,0
14755,BME,4063,001,Lecture,"3","Timothy Allen","TuTh 9:30am - 10:45am","","Biomedical Engineering Capstone Design I","",Open,98,120,0
20642,BME,4064,001,Lecture,"3","Timothy Allen","TBA","","Biomedical Engineering Capstone Design II","",Closed,1,1,0
20007,BME,4290,001,Lecture,"3","Eli Zunder","MoWe 12:30pm - 1:45pm","","Stem Cell Engineering","",Open,17,32,0
20013,BME,4360,001,Lecture,"3","Kristen Naegle","MoWe 2:00pm - 3:15pm","","Molecular Data Science","",Open,24,32,0
16250,BME,4390,001,Lecture,"3","Mohammad Fallahi-Sichani","MoWe 12:30pm - 1:45pm","","Bioreaction Kinetics: Biomedical & Pharmacological Perspectives","",Open,39,40,0
16258,BME,4414,001,Lecture,"3","Daniel Abebayehu, Tom Barker","MoWe 12:30pm - 1:45pm","","Biomaterials","",Open,32,75,0
15674,BME,4550,001,Lecture,"3","Brian Helmke","MoWe 2:00pm - 3:15pm","","Special Topics in Biomedical Engineering","Mechanobiology",Open,20,40,0
16267,BME,4550,002,Lecture,"3","David Chen, Kristin Bush","We 2:00pm - 2:50pm","","Special Topics in Biomedical Engineering","Medical Product Development",Closed,12,10,0
