ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
16135,CS,1110,001,Lecture,"3","Arohi Khargonkar","MoWeFr 12:00pm - 12:50pm","","Introduction to Programming","",Open,0,200,0
16141,CS,1110,002,Lecture,"3","Arohi Khargonkar","MoWeFr 1:00pm - 1:50pm","","Introduction to Programming","",Open,0,200,0
16137,CS,1110,100,Laboratory,"0","Arohi Khargonkar","Th 11:00am - 12:15pm","","Introduction to Programming","",Open,0,85,0
16138,CS,1110,101,Laboratory,"0","Arohi Khargonkar","Th 12:30pm - 1:45pm","","Introduction to Programming","",Open,0,85,0
16139,CS,1110,102,Laboratory,"0","Arohi Khargonkar","Th 2:00pm - 3:15pm","","Introduction to Programming","",Open,0,85,0
16140,CS,1110,103,Laboratory,"0","Arohi Khargonkar","Th 3:30pm - 4:45pm","","Introduction to Programming","",Open,0,85,0
17256,CS,1112,001,Lecture,"3","Nada Basit","MoWeFr 12:30pm - 1:45pm","","Introduction to Programming","",Open,0,85,0
17257,CS,1112,002,Lecture,"3","Nada Basit","MoWeFr 2:00pm - 3:15pm","","Introduction to Programming","",Open,0,85,0
16942,CS,2100,001,Lecture,"4","Briana Morrison","MoWeFr 1:00pm - 1:50pm","","Data Structures and Algorithms 1","",Open,0,150,0
16943,CS,2100,002,Lecture,"4","Xinyao Yi","MoWeFr 2:00pm - 2:50pm","","Data Structures and Algorithms 1","",Open,0,150,0
16944,CS,2100,101,Laboratory,"0","Briana Morrison","Mo 3:00pm - 4:45pm","","Data Structures and Algorithms 1","",Open,0,150,0
16945,CS,2100,102,Laboratory,"0","Briana Morrison","Mo 5:00pm - 6:45pm","","Data Structures and Algorithms 1","",Open,0,150,0
16998,CS,2120,001,Lecture,"3","Sarah Elder","MoWeFr 10:00am - 10:50am","","Discrete Mathematics and Theory 1","",Open,0,135,0
17580,CS,2120,002,Lecture,"3","To Be Announced","MoWeFr 1:00pm - 1:50pm","","Discrete Mathematics and Theory 1","",Open,0,135,0
