ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
20569,MAE,1501,001,Lecture,"1","Caroline Crockett","Fr 12:00pm - 12:50pm","","Special Topics in Mechanical & Aerospace Engineering","T-6 Flight Simulator Training",Closed,12,12,0
20605,MAE,1501,002,Lecture,"1","Caroline Crockett","Fr 1:00pm - 1:50pm","","Special Topics in Mechanical & Aerospace Engineering","T-6 Flight Simulator Training",Open,7,12,0
15655,MAE,2020,001,Lecture,"2","Gavin Garner","TuTh 2:00pm - 3:15pm","","Introduction to Mechanical Engineering","",Open,168,170,0
15656,MAE,2030,001,Lecture,"2","Ethan Scott","TuTh 9:30am - 10:45am","","Introduction to Aerospace Engineering","",Open,73,90,0
15657,MAE,2040,001,WKS,"1","Dwight Dart","Tu 4:00pm - 4:50pm","","Computer Aided Design","",Open,142,150,0
16189,MAE,2100,001,Lecture,"3","David Brown","Mo 6:00pm - 8:00pm","","Thermodynamics","",Open,87,100,0
14704,MAE,2300,001,Lecture,"3","Peter Griffiths","MoWeFr 9:00am - 9:50am","","Statics","",Open,110,115,0
15260,MAE,2300,002,Lecture,"3","Leo Liu","MoWe 2:00pm - 3:15pm","","Statics","",Closed,55,35,0
19628,MAE,2310,001,Lecture,"3","Natasha Smith","MoWe 2:00pm - 3:15pm","","Strength of Materials","",Open,38,45,0
15633,MAE,2320,001,Lecture,"3","Qing Chang","TuTh 11:00am - 12:15pm","","Dynamics","",Open,21,30,0
16192,MAE,3210,001,Lecture,"3","Eric Loth","TuTh 11:00am - 12:15pm","","Fluid Mechanics","",Open,93,100,0
20488,MAE,3210,002,Lecture,"3","Daniel Quinn","TuTh 11:00am - 12:15pm","","Fluid Mechanics","",Open,62,80,0
15409,MAE,3230,001,Lecture,"2","Peter Griffiths","Mo 12:00pm - 12:50pm","","Thermal Fluids Laboratory","",Open,76,150,0
16252,MAE,3230,002,Lecture,"2","Peter Griffiths","TBA","","Thermal Fluids Laboratory","",Open,99,100,0
15410,MAE,3230,101,Laboratory,"0","Peter Griffiths","Tu 2:00pm - 4:00pm","","Thermal Fluids Laboratory","",Closed,21,21,0
15411,MAE,3230,102,Laboratory,"0","Peter Griffiths","Th 2:00pm - 4:00pm","","Thermal Fluids Laboratory","",Closed,21,21,0
15412,MAE,3230,103,Laboratory,"0","Peter Griffiths","Tu 4:00pm - 6:00pm","","Thermal Fluids Laboratory","",Open,20,21,0
15413,MAE,3230,104,Laboratory,"0","Peter Griffiths","We 4:00pm - 6:00pm","","Thermal Fluids Laboratory","",Closed,21,21,0
15414,MAE,3230,105,Laboratory,"0","Peter Griffiths","Th 4:00pm - 6:00pm","","Thermal Fluids Laboratory","",Open,20,21,0
15415,MAE,3230,106,Laboratory,"0","Peter Griffiths","We 2:00pm - 4:00pm","","Thermal Fluids Laboratory","",Open,20,21,0
15416,MAE,3230,107,Laboratory,"0","Peter Griffiths","We 6:00pm - 8:00pm","","Thermal Fluids Laboratory","",Open,12,21,0
16003,MAE,3230,108,Laboratory,"0","Peter Griffiths","Mo 2:00pm - 4:00pm","","Thermal Fluids Laboratory","",Closed,21,21,0
21165,MAE,3230,109,Laboratory,"0","Peter Griffiths","Mo 4:00pm - 6:00pm","","Thermal Fluids Laboratory","",Open,19,21,0
14706,MAE,3310,001,Lecture,"3","Michael Momot","MoWeFr 10:00am - 10:50am","","Aerospace Structures","",Open,148,150,0
16292,MAE,3310,002,Lecture,"3","Michael Momot","MoWeFr 9:00am - 9:50am","","Aerospace Structures","",Open,34,48,0
15261,MAE,3420,001,Lecture,"3","Chen Cui","TuTh 9:30am - 10:45am","","Computational Methods in Mechanical & Aerospace Engineering","",Open,59,72,0
15589,MAE,3420,101,Laboratory,"0","Chen Cui","We 6:00pm - 8:00pm","","Computational Methods in Mechanical & Aerospace Engineering","",Closed,31,30,0
15590,MAE,3420,102,Laboratory,"0","Chen Cui","Th 6:00pm - 8:00pm","","Computational Methods in Mechanical & Aerospace Engineering","",Open,28,30,0
14707,MAE,3610,001,Lecture,"3","Baoxing Xu","TuTh 12:30pm - 1:45pm","","Aerospace Materials","",Open,76,80,0
14708,MAE,3710,001,Lecture,"3","Shawn Russell","MoWeFr 1:00pm - 1:50pm","","Mechanical Systems","",Open,119,140,0
14709,MAE,4120,001,Lecture,"3","Lin Ma","MoWe 8:30am - 9:45am","","Aerospace Propulsion","",Closed,80,80,0
16253,MAE,4501,001,Lecture,"3","Sarah Sun","MoWe 11:00am - 12:15pm","","Special Topics in Mechanical Engineering","Robotic Manipulators",Open,7,10,0
19717,MAE,4501,002,Lecture,"3","Toni Tang","MoWe 2:00pm - 3:15pm","","Special Topics in Mechanical Engineering","Fracture Mechanics",Open,0,15,0
20190,MAE,4501,003,Lecture,"3","Robert Rockwell","Fr 2:00pm - 4:30pm","","Special Topics in Mechanical Engineering","Fund. of Finite Element Anal.",Open,23,30,0
20525,MAE,4501,004,Lecture,"3","Xiaodong Li","Fr 1:30pm - 4:00pm","","Special Topics in Mechanical Engineering","Vehicle Composites and Manufac",Open,13,17,0
21612,MAE,4501,005,IND,"3","Patrick Hopkins","TBA","","Special Topics in Mechanical Engineering","Adv Microscale Heat Transfer",Closed,1,1,0
15927,MAE,4504,001,Lecture,"3","Craig Nickol","Th 6:00pm - 8:30pm","","Special Topics in Aerospace Engineering","Aerospace Systems Development",Open,6,10,0
16423,MAE,4511,001,IND,"1.5","Natasha Smith","TBA","","Mechanical Engineering Special Project","Individual Research Projects",Open,0,5,0
20551,MAE,4511,002,IND,"1.5","Jason Forman","TBA","","Mechanical Engineering Special Project","Individual Research Projects",Open,1,30,0
15570,MAE,4513,001,IND,"1.5","Chloe Dedic","TBA","","Aerospace Engineering Special Projects","Laser Diag Reacting Flows I",Open,5,30,0
15690,MAE,4513,002,IND,"1.5","Chloe Dedic","TBA","","Aerospace Engineering Special Projects","Adv Exper Spectroscopy Methods",Open,0,30,0
20602,MAE,4513,003,IND,"1.5","Eric Loth","TBA","","Aerospace Engineering Special Projects","Wind Energy Research",Open,0,30,0
21577,MAE,4513,004,IND,"1.5","Frank Lagor","TBA","","Aerospace Engineering Special Projects","Experimental Flow Sensing I",Open,2,5,0
21596,MAE,4513,005,IND,"1.5","Haibo Dong","TBA","","Aerospace Engineering Special Projects","Fluid Dynamics Research I",Open,2,30,0
21537,MAE,4514,001,IND,"1.5","Daniel Quinn","TBA","","Aerospace Engineering Special Projects","Fluid Dynamics Research II",Open,2,30,0
14710,MAE,4610,001,Lecture,"3","Michael Momot","Th 12:30pm - 1:45pm","","Mechanical Engineering Design I","",Open,34,36,0
15161,MAE,4610,002,Lecture,"3","Michael Momot","Th 12:30pm - 1:45pm","","Mechanical Engineering Design I","",Open,28,30,0
15649,MAE,4610,003,Lecture,"3","Michael Momot","Th 12:30pm - 1:45pm","","Mechanical Engineering Design I","",Open,16,24,0
16283,MAE,4620,001,Lecture,"3","Michael Momot, Natasha Smith","TuTh 2:00pm - 3:15pm","","Mechanical Engineering Design II","",Open,4,30,0
19718,MAE,4720,001,Lecture,"3","Gavin Garner","MoWe 11:00am - 1:00pm","","Advanced Mechatronics","",Open,11,21,0
16308,MAE,4740,001,Lecture,"3","Robert Rockwell","MoWe 12:30pm - 1:45pm","","Mechanical Vibrations","",Open,1,15,0
16279,MAE,4790,001,Lecture,"3","Chris Goyne","Tu 2:00pm - 3:15pm","","Aerospace Engineering Design I","",Open,78,84,0
16280,MAE,4790,101,WKS,"0","Chris Goyne","Th 2:00pm - 3:15pm","","Aerospace Engineering Design I","",Closed,30,30,0
