ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
11482,MATH,1140,001,Lecture,"3","Kristina Cernekova, -","MoWeFr 9:00am - 9:50am","","Financial Mathematics","",Open,35,36,0
12730,MATH,1140,002,Lecture,"3","Kristina Cernekova, -","MoWeFr 10:00am - 10:50am","","Financial Mathematics","",Closed,36,36,0
14257,MATH,1140,003,Lecture,"3","Kristina Cernekova, -","MoWeFr 11:00am - 11:50am","","Financial Mathematics","",Open,35,36,0
21094,MATH,1140,004,Lecture,"3","Zivile Puospekaite, -","MoWe 3:30pm - 4:45pm","","Financial Mathematics","",Closed,36,36,0
20140,MATH,1150,001,Lecture,"3","Kyong Mi Choi","TuTh 12:30pm - 1:45pm","","The Shape of Space","",Closed,35,35,0
11175,MATH,1190,100,Lecture,"4","Jim Rolf, -","TuTh 11:00am - 12:15pm","","A Survey of Calculus I with Algebra","",Closed,36,36,0
11176,MATH,1190,101,Discussion,"0","Gabriel Diraviam","Fr 11:00am - 11:50am","","A Survey of Calculus I with Algebra","",Closed,36,36,0
20405,MATH,1190,110,SPS,"0","Jim Rolf","Th 7:00pm - 9:00pm","","A Survey of Calculus I with Algebra","",Closed,36,36,0
19507,MATH,1190,200,Lecture,"4","Jim Rolf, -","TuTh 9:30am - 10:45am","","A Survey of Calculus I with Algebra","",Closed,36,36,0
19508,MATH,1190,201,Discussion,"0","Tommaso Punis","Fr 10:00am - 10:50am","","A Survey of Calculus I with Algebra","",Closed,36,36,0
20406,MATH,1190,210,SPS,"0","Jim Rolf","Th 7:00pm - 9:00pm","","A Survey of Calculus I with Algebra","",Closed,36,36,0
10216,MATH,1210,100,Lecture,"3","Mikhail Tikhonov, -","TuTh 8:00am - 9:15am","","A survey of Calculus I","",Open,32,35,0
20393,MATH,1210,110,SPS,"0","Mikhail Tikhonov","Th 7:00pm - 9:00pm","","A survey of Calculus I","",Open,32,36,0
10217,MATH,1210,200,Lecture,"3","Raul Hernandez, -","TuTh 9:30am - 10:45am","","A survey of Calculus I","",Closed,35,35,0
20394,MATH,1210,210,SPS,"0","Raul Hernandez","Th 7:00pm - 9:00pm","","A survey of Calculus I","",Open,35,36,0
10219,MATH,1210,300,Lecture,"3","David Sherman, -","TuTh 11:00am - 12:15pm","","A survey of Calculus I","",Closed,35,35,0
20395,MATH,1210,310,SPS,"0","David Sherman","Th 7:00pm - 9:00pm","","A survey of Calculus I","",Open,35,36,0
13053,MATH,1210,400,Lecture,"3","David Sherman, -","TuTh 12:30pm - 1:45pm","","A survey of Calculus I","",Closed,35,35,0
20396,MATH,1210,410,SPS,"0","David Sherman","Th 7:00pm - 9:00pm","","A survey of Calculus I","",Open,35,36,0
12729,MATH,1210,500,Lecture,"3","Michael Wills, -","TuTh 2:00pm - 3:15pm","","A survey of Calculus I","",Closed,35,35,0
20397,MATH,1210,510,SPS,"0","Michael Wills","Th 7:00pm - 9:00pm","","A survey of Calculus I","",Closed,35,35,0
11541,MATH,1210,600,Lecture,"3","James Bowling, -","TuTh 3:30pm - 4:45pm","","A survey of Calculus I","",Closed,28,28,0
21095,MATH,1210,610,SPS,"0","James Bowling","Th 7:00pm - 9:00pm","","A survey of Calculus I","",Closed,28,28,0
