ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10328,PHYS,1050,001,Lecture,"3","Chris Neu","MoWeFr 1:00pm - 1:50pm","","How Things Work","",Open,140,156,0
11483,PHYS,1110,001,Lecture,"3","E Dukes","TuTh 9:30am - 10:45am","","Energy, Science and Society","",Open,47,60,0
11093,PHYS,1425,001,Lecture,"3","Xiaochao Zheng","MoWeFr 12:00pm - 12:50pm","","Introductory Physics 1 for Engineers","",Open,127,135,0
11198,PHYS,1429,001,Laboratory,"1","Maksim Bychkov","Mo 10:00am - 11:50am","","Introductory Physics 1 Workshop","",Closed,24,2,0
12864,PHYS,1429,002,Laboratory,"1","Maksim Bychkov","Mo 12:00pm - 1:50pm","","Introductory Physics 1 Workshop","",Closed,25,2,0
11199,PHYS,1429,003,Laboratory,"1","Maksim Bychkov","Mo 2:00pm - 3:50pm","","Introductory Physics 1 Workshop","",Closed,25,2,0
11200,PHYS,1429,004,Laboratory,"1","Maksim Bychkov","Mo 4:00pm - 5:50pm","","Introductory Physics 1 Workshop","",Closed,25,2,0
11201,PHYS,1429,005,Laboratory,"1","Maksim Bychkov","Mo 6:00pm - 7:50pm","","Introductory Physics 1 Workshop","",Closed,23,2,0
13123,PHYS,1655,001,Lecture,"3","Robert Group","MoWe 3:30pm - 4:45pm","","Introduction to Python for Scientists and Engineers","",Open,61,100,0
11351,PHYS,1660,001,Lecture,"1","Bryan Wright","Tu 2:00pm - 2:50pm","","Practical Computing for the Physical Sciences","",Open,24,25,0
11548,PHYS,1660,002,Lecture,"1","Bryan Wright","Th 2:00pm - 2:50pm","","Practical Computing for the Physical Sciences","",Open,6,25,0
12400,PHYS,1930,001,Lecture,"2","Jongsoo Yoon","MoWe 11:00am - 11:50am","","Physics in the 21st Century","",Open,19,25,0
10329,PHYS,2010,001,Lecture,"3","Jency Sundararajan","MoWeFr 9:00am - 9:50am","","Principles of Physics 1 for Pre-Health Students","",Closed,126,126,0
10330,PHYS,2010,002,Lecture,"3","Jency Sundararajan","MoWeFr 10:00am - 10:50am","","Principles of Physics 1 for Pre-Health Students","",Closed,126,126,0
12411,PHYS,2010,003,Lecture,"3","Jency Sundararajan","MoWeFr 11:00am - 11:50am","","Principles of Physics 1 for Pre-Health Students","",Open,125,126,0
11241,PHYS,2010,004,Lecture,"3","Rebecca Grouchy","TuTh 9:30am - 10:45am","","Principles of Physics 1 for Pre-Health Students","",Closed,126,126,0
13307,PHYS,2010,005,Lecture,"3","Rebecca Grouchy","TuTh 11:00am - 12:15pm","","Principles of Physics 1 for Pre-Health Students","",Closed,126,126,0
14145,PHYS,2010,006,Lecture,"3","Rebecca Grouchy","TuTh 2:00pm - 3:15pm","","Principles of Physics 1 for Pre-Health Students","",Open,125,126,0
10479,PHYS,2030,001,Laboratory,"1","Maksim Bychkov","Mo 11:00am - 12:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
10480,PHYS,2030,002,Laboratory,"1","Maksim Bychkov","Mo 1:00pm - 2:50pm","","Principles of Physics 1 Workshop","",Closed,25,2,0
10481,PHYS,2030,003,Laboratory,"1","Maksim Bychkov","Mo 3:00pm - 4:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
10482,PHYS,2030,004,Laboratory,"1","Maksim Bychkov","Mo 5:00pm - 6:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
13258,PHYS,2030,005,Laboratory,"1","Maksim Bychkov","Tu 11:00am - 12:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
10483,PHYS,2030,006,Laboratory,"1","Maksim Bychkov","Tu 11:00am - 12:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
10484,PHYS,2030,007,Laboratory,"1","Maksim Bychkov","Tu 1:00pm - 2:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
10485,PHYS,2030,008,Laboratory,"1","Maksim Bychkov","Tu 1:00pm - 2:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
10486,PHYS,2030,009,Laboratory,"1","Maksim Bychkov","Tu 3:00pm - 4:50pm","","Principles of Physics 1 Workshop","",Closed,25,2,0
10487,PHYS,2030,010,Laboratory,"1","Maksim Bychkov","Tu 3:00pm - 4:50pm","","Principles of Physics 1 Workshop","",Closed,25,2,0
10488,PHYS,2030,011,Laboratory,"1","Maksim Bychkov","Tu 5:00pm - 6:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
10489,PHYS,2030,012,Laboratory,"1","Maksim Bychkov","We 11:00am - 12:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
10490,PHYS,2030,013,Laboratory,"1","Maksim Bychkov","We 11:00am - 12:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
10491,PHYS,2030,014,Laboratory,"1","Maksim Bychkov","We 1:00pm - 2:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
12477,PHYS,2030,015,Laboratory,"1","Maksim Bychkov","We 1:00pm - 2:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
13337,PHYS,2030,016,Laboratory,"1","Maksim Bychkov","We 3:00pm - 4:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
13343,PHYS,2030,017,Laboratory,"1","Maksim Bychkov","We 3:00pm - 4:50pm","","Principles of Physics 1 Workshop","",Closed,25,2,0
13993,PHYS,2030,018,Laboratory,"1","Maksim Bychkov","We 5:00pm - 6:50pm","","Principles of Physics 1 Workshop","",Closed,25,2,0
14217,PHYS,2030,019,Laboratory,"1","Maksim Bychkov","Th 11:00am - 12:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
14218,PHYS,2030,020,Laboratory,"1","Maksim Bychkov","Th 11:00am - 12:50pm","","Principles of Physics 1 Workshop","",Closed,25,2,0
14219,PHYS,2030,021,Laboratory,"1","Maksim Bychkov","Th 1:00pm - 2:50pm","","Principles of Physics 1 Workshop","",Closed,25,2,0
14220,PHYS,2030,022,Laboratory,"1","Maksim Bychkov","Th 1:00pm - 2:50pm","","Principles of Physics 1 Workshop","",Closed,25,2,0
14221,PHYS,2030,023,Laboratory,"1","Maksim Bychkov","Th 3:00pm - 4:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
14263,PHYS,2030,024,Laboratory,"1","Maksim Bychkov","Th 5:00pm - 6:50pm","","Principles of Physics 1 Workshop","",Closed,14,2,0
20611,PHYS,2030,027,Laboratory,"1","Maksim Bychkov","Tu 5:00pm - 6:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
20612,PHYS,2030,028,Laboratory,"1","Maksim Bychkov","Th 3:00pm - 4:50pm","","Principles of Physics 1 Workshop","",Closed,25,2,0
21099,PHYS,2030,029,Laboratory,"1","Maksim Bychkov","We 5:00pm - 6:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
21100,PHYS,2030,030,Laboratory,"1","Maksim Bychkov","Th 5:00pm - 6:50pm","","Principles of Physics 1 Workshop","",Closed,26,2,0
21370,PHYS,2030,031,Laboratory,"1","Maksim Bychkov","Tu 9:00am - 10:50am","","Principles of Physics 1 Workshop","",Closed,25,2,0
21371,PHYS,2030,032,Laboratory,"1","Maksim Bychkov","Th 9:00am - 10:50am","","Principles of Physics 1 Workshop","",Closed,20,2,0
12766,PHYS,2410,001,Lecture,"3","Cristina Mantilla Suarez","MoWeFr 9:00am - 9:50am","","Introductory Physics 2: Electricity, Magnetism and Optics","",Open,32,60,0
10508,PHYS,2415,001,Lecture,"3","Utpal Chatterjee","MoWeFr 1:00pm - 1:50pm","","Introductory Physics 2 for Engineers","",Open,34,100,0
10331,PHYS,2419,001,Laboratory,"1","Maksim Bychkov","Mo 2:00pm - 3:50pm","","Introductory Physics 2 Workshop","",Closed,17,2,0
10332,PHYS,2419,002,Laboratory,"1","Maksim Bychkov","Tu 12:00pm - 1:50pm","","Introductory Physics 2 Workshop","",Closed,19,2,0
10333,PHYS,2419,003,Laboratory,"1","Maksim Bychkov","Tu 2:00pm - 3:50pm","","Introductory Physics 2 Workshop","",Closed,22,2,0
